Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,PF,21.0,MIA,61.0,737.0,14.2,0.55,0.004,19.5,0.3,1.0,1.3,0.085,-3.6,-0.5,-4.1,-0.4
Jaylen Adams,PG,24.0,MIL,7.0,18.0,-6.5,0.125,0.25,18.6,-0.1,0.0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1
Steven Adams,C,27.0,NOP,58.0,1605.0,15.1,0.596,0.01,11.7,2.3,1.7,4.0,0.119,-0.4,0.1,-0.3,0.7
Bam Adebayo,C,23.0,MIA,64.0,2143.0,22.7,0.626,0.01,23.7,5.6,3.2,8.8,0.197,2.9,2.0,4.9,3.7
LaMarcus Aldridge,C,35.0,SAS,21.0,544.0,15.1,0.545,0.302,22.7,0.3,0.5,0.8,0.067,-0.2,-0.7,-0.9,0.2
LaMarcus Aldridge,C,35.0,BRK,5.0,130.0,18.2,0.611,0.104,19.9,0.2,0.2,0.4,0.135,0.1,2.1,2.2,0.1
Ty-Shon Alexander,SG,22.0,PHO,15.0,47.0,4.2,0.349,0.75,15.0,-0.1,0.0,0.0,-0.048,-4.8,-1.7,-6.5,-0.1
Nickeil Alexander-Walker,SG,22.0,NOP,46.0,1007.0,12.5,0.522,0.478,23.2,-0.3,1.0,0.7,0.035,-1.4,0.1,-1.3,0.2
Grayson Allen,SG,25.0,MEM,50.0,1259.0,12.8,0.586,0.662,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6
Jarrett Allen,C,22.0,BRK,12.0,320.0,21.5,0.73,0.0,15.5,1.0,0.5,1.4,0.216,1.7,0.9,2.6,0.4
Jarrett Allen,C,22.0,CLE,51.0,1544.0,19.8,0.649,0.046,16.8,3.4,1.6,5.0,0.155,1.2,-0.4,0.8,1.1
Al-Farouq Aminu,PF,30.0,ORL,17.0,367.0,9.9,0.482,0.348,14.3,-0.3,0.4,0.1,0.014,-4.4,1.3,-3.1,-0.1
Al-Farouq Aminu,PF,30.0,CHI,6.0,67.0,3.0,0.369,0.6,9.8,-0.1,0.1,0.0,-0.013,-7.5,0.2,-7.3,-0.1
Kyle Anderson,PF,27.0,MEM,69.0,1887.0,17.2,0.578,0.397,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5
Giannis Antetokounmpo,PF,26.0,MIL,61.0,2013.0,29.2,0.633,0.201,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9.0,5.6
Kostas Antetokounmpo,PF,23.0,LAL,15.0,56.0,0.0,0.382,0.0,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1
Thanasis Antetokounmpo,SF,28.0,MIL,57.0,551.0,10.3,0.523,0.212,15.3,0.0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2
Carmelo Anthony,PF,36.0,POR,69.0,1690.0,14.6,0.547,0.418,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4
Cole Anthony,PG,20.0,ORL,47.0,1273.0,12.1,0.496,0.312,24.3,-0.9,0.9,0.0,-0.001,-1.9,-1.4,-3.3,-0.4
OG Anunoby,SF,23.0,TOR,43.0,1433.0,15.4,0.605,0.503,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2
Ryan Arcidiacono,PG,26.0,CHI,44.0,450.0,9.8,0.541,0.573,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0.0
